short_name,player_positions,overall,potential,value_eur,value_log10,club_contract_valid_until,years_left,age,weak_foot,international_reputation,pace,shooting,passing,dribbling,defending,physic
D. Brown,ST,65,65,700000.0,5.845098040014257,2026.0,5.0,30,4,1,83.0,64.0,49.0,61.0,35.0,78.0
Lee Jeong Hyeop,ST,65,65,700000.0,5.845098040014257,2026.0,5.0,30,4,1,64.0,62.0,47.0,60.0,34.0,76.0
H. Al Hazaa,ST,65,65,725000.0,5.860338006570994,2023.0,2.0,29,3,1,77.0,63.0,45.0,62.0,21.0,59.0
D. Asprilla,"RM, ST",65,65,700000.0,5.845098040014257,2021.0,0.0,29,3,1,74.0,63.0,58.0,67.0,39.0,72.0
S. Varas,ST,65,65,575000.0,5.7596678446896306,2021.0,0.0,32,3,1,59.0,65.0,49.0,60.0,29.0,78.0
J. Dodoo,"ST, RM, LM",65,68,950000.0,5.977723605288848,2023.0,2.0,26,3,1,80.0,62.0,56.0,64.0,35.0,67.0
K. Jackson,ST,65,66,825000.0,5.9164539485499255,2022.0,1.0,27,3,1,91.0,63.0,47.0,63.0,30.0,57.0
V. Vermeij,ST,65,66,850000.0,5.929418925714293,2026.0,5.0,26,3,1,41.0,65.0,55.0,56.0,31.0,73.0
R. Blanco,"ST, RW, LW",65,65,240000.0,5.380211241711606,2026.0,5.0,39,3,1,55.0,71.0,52.0,61.0,23.0,55.0
J. Reyes,"CAM, RW, ST",65,65,725000.0,5.860338006570994,2021.0,0.0,28,3,1,70.0,60.0,58.0,64.0,42.0,57.0
J. Sanguinetti,"CAM, ST, RM",65,65,700000.0,5.845098040014257,2021.0,0.0,30,3,1,66.0,69.0,62.0,64.0,39.0,63.0
F. Friday,ST,65,68,950000.0,5.977723605288848,2022.0,1.0,26,4,1,71.0,64.0,48.0,65.0,27.0,72.0
S. Nicholson,"RM, ST, LW",65,65,775000.0,5.889301702506311,2022.0,1.0,26,4,1,86.0,61.0,57.0,66.0,48.0,62.0
J. Cummings,"ST, RW",65,68,950000.0,5.977723605288848,2022.0,1.0,25,3,1,71.0,66.0,55.0,65.0,37.0,64.0
R. Ramallo,"ST, RM",65,65,700000.0,5.845098040014257,2021.0,0.0,30,3,1,73.0,67.0,49.0,63.0,40.0,65.0
Rafael Ratão,"LW, ST",65,68,950000.0,5.977723605288848,2024.0,3.0,25,3,1,78.0,62.0,51.0,70.0,24.0,53.0
M. Lorenzen,"LW, ST",65,66,850000.0,5.929418925714293,2021.0,0.0,26,2,1,84.0,64.0,55.0,66.0,32.0,66.0
F. Okenabirhie,ST,65,70,1100000.0,6.041392685158225,2022.0,1.0,25,4,1,82.0,64.0,54.0,67.0,33.0,66.0
K. Vassell,ST,65,65,725000.0,5.860338006570994,2022.0,1.0,28,5,1,78.0,65.0,47.0,62.0,34.0,71.0
Carrillo,ST,65,66,825000.0,5.9164539485499255,2022.0,1.0,27,3,1,66.0,68.0,59.0,62.0,33.0,57.0
C. Bishop,ST,65,70,1100000.0,6.041392685158225,2022.0,1.0,24,3,1,73.0,64.0,50.0,62.0,33.0,75.0
L. Salvesen,ST,65,70,1100000.0,6.041392685158225,2023.0,2.0,25,3,1,70.0,64.0,51.0,60.0,31.0,79.0
J. Correa,"ST, LM",65,66,825000.0,5.9164539485499255,2026.0,5.0,27,3,1,83.0,64.0,56.0,69.0,29.0,53.0
M. McNulty,ST,65,65,725000.0,5.860338006570994,2022.0,1.0,28,3,1,73.0,66.0,55.0,65.0,33.0,68.0
E. Berggreen,ST,65,65,725000.0,5.860338006570994,2022.0,1.0,28,4,1,34.0,67.0,52.0,59.0,30.0,70.0
S. Jacob,"ST, CAM",65,65,725000.0,5.860338006570994,2023.0,2.0,28,3,1,72.0,62.0,54.0,67.0,29.0,66.0
B. Babić,ST,65,74,1600000.0,6.204119982655925,2023.0,2.0,23,2,1,82.0,61.0,50.0,65.0,27.0,67.0
R. Gergel,"ST, RM",65,65,450000.0,5.653212513775344,2023.0,2.0,33,3,1,75.0,64.0,59.0,64.0,40.0,70.0
S. Aškovski,"RW, LM, ST",65,65,700000.0,5.845098040014257,2023.0,2.0,29,3,1,79.0,57.0,62.0,66.0,50.0,64.0
E. Brophy,ST,65,67,900000.0,5.954242509439325,2024.0,3.0,25,3,1,78.0,64.0,59.0,66.0,31.0,71.0
Lü Wenjun,"ST, RW, LW",65,65,575000.0,5.7596678446896306,2025.0,4.0,32,3,1,79.0,60.0,61.0,64.0,34.0,69.0
A. Çiçek,ST,65,68,950000.0,5.977723605288848,2022.0,1.0,25,3,1,58.0,65.0,47.0,62.0,30.0,70.0
S. Kashket,"ST, RW",65,68,950000.0,5.977723605288848,2022.0,1.0,25,3,1,84.0,65.0,55.0,68.0,27.0,56.0
L. Passerini,ST,65,66,850000.0,5.929418925714293,2022.0,1.0,26,3,1,43.0,66.0,46.0,56.0,28.0,73.0
L. Contin,ST,65,70,1100000.0,6.041392685158225,2022.0,1.0,25,3,1,64.0,64.0,50.0,63.0,31.0,71.0
M. Burgess,"CAM, ST",65,66,850000.0,5.929418925714293,2023.0,2.0,26,4,1,77.0,59.0,61.0,67.0,39.0,68.0
R. Vargas,"ST, LW",65,66,850000.0,5.929418925714293,2021.0,0.0,26,4,1,72.0,66.0,54.0,74.0,24.0,45.0
J. Arias,ST,65,68,950000.0,5.977723605288848,2022.0,1.0,26,3,1,64.0,63.0,47.0,55.0,27.0,67.0
K. Shelton,"ST, RW",65,65,725000.0,5.860338006570994,2022.0,1.0,28,3,1,73.0,59.0,56.0,65.0,37.0,76.0
P. Kirkevold,ST,65,65,700000.0,5.845098040014257,2021.0,0.0,30,3,1,64.0,66.0,63.0,63.0,33.0,72.0
N. Delgadillo,"LM, ST",65,73,1600000.0,6.204119982655925,2021.0,0.0,23,3,1,73.0,57.0,60.0,68.0,31.0,61.0
J. Kliment,ST,65,65,775000.0,5.889301702506311,2024.0,3.0,27,3,1,73.0,62.0,56.0,65.0,31.0,61.0
S. Humphrys,ST,65,71,1100000.0,6.041392685158225,2024.0,3.0,23,3,1,70.0,65.0,53.0,64.0,35.0,76.0
C. Lattanzio,"LM, ST, RM",65,71,1100000.0,6.041392685158225,2021.0,0.0,23,3,1,73.0,65.0,63.0,64.0,41.0,55.0
Danilo Sacrio,ST,65,65,725000.0,5.860338006570994,2024.0,3.0,29,3,1,85.0,64.0,45.0,68.0,27.0,56.0
Emílio Trevões,"ST, LW",65,65,450000.0,5.653212513775344,2024.0,3.0,33,4,1,90.0,64.0,52.0,71.0,23.0,52.0
L. Vaca,"RW, ST",65,68,950000.0,5.977723605288848,2022.0,1.0,25,3,1,71.0,64.0,58.0,64.0,23.0,57.0
I. Hora,ST,65,65,575000.0,5.7596678446896306,2022.0,1.0,32,3,1,70.0,63.0,60.0,60.0,44.0,67.0
Oh Se Hun,ST,65,74,1600000.0,6.204119982655925,2022.0,1.0,22,3,1,53.0,65.0,43.0,61.0,35.0,72.0
N. Ishihara,"ST, CF",65,65,240000.0,5.380211241711606,2022.0,1.0,36,3,1,52.0,68.0,58.0,65.0,31.0,53.0
D. Jaiyesimi,"RW, LM, ST",65,72,1400000.0,6.146128035678238,2024.0,3.0,23,3,1,89.0,58.0,58.0,67.0,29.0,64.0
Y. Minagawa,ST,65,65,725000.0,5.860338006570994,2022.0,1.0,29,3,1,48.0,65.0,44.0,54.0,38.0,78.0
M. Guevgeozián,ST,65,65,300000.0,5.477121254719663,2021.0,0.0,35,3,1,49.0,66.0,39.0,61.0,26.0,63.0
Y. Naganuma,"RM, LM, ST",65,68,975000.0,5.989004615698537,2022.0,1.0,24,3,1,73.0,51.0,62.0,66.0,53.0,62.0
Kim Dae Won,"ST, LW",65,71,1100000.0,6.041392685158225,2022.0,1.0,24,4,1,82.0,62.0,59.0,68.0,25.0,67.0
C. Timite,"ST, RM, RW",65,69,1000000.0,6.0,2022.0,1.0,23,3,1,85.0,60.0,55.0,69.0,35.0,66.0
S. Akasaki,"ST, CAM",65,65,725000.0,5.860338006570994,2022.0,1.0,29,4,1,63.0,66.0,61.0,64.0,30.0,66.0
Song Si Woo,"ST, RM",65,65,775000.0,5.889301702506311,2022.0,1.0,27,2,1,80.0,63.0,59.0,67.0,36.0,59.0
J. Okita,"ST, LW, RW",65,70,1100000.0,6.041392685158225,2022.0,1.0,24,3,1,80.0,62.0,55.0,68.0,22.0,66.0
M. Kvesić,"CAM, CM, ST",65,65,700000.0,5.845098040014257,2022.0,1.0,29,3,1,80.0,64.0,64.0,72.0,24.0,54.0
A. Pavlović,ST,65,65,775000.0,5.889301702506311,2024.0,3.0,27,2,1,67.0,66.0,53.0,63.0,28.0,68.0
Rafa Mújica,"ST, RM, LM",65,75,1600000.0,6.204119982655925,2022.0,1.0,22,3,1,71.0,65.0,58.0,68.0,33.0,60.0
A. Seydel,"ST, LM, CAM",65,68,950000.0,5.977723605288848,2022.0,1.0,25,4,1,67.0,61.0,53.0,65.0,29.0,61.0
Darío Poveda,ST,65,72,1400000.0,6.146128035678238,2026.0,5.0,24,3,1,46.0,67.0,56.0,64.0,25.0,51.0
Y. Merdji,ST,65,65,775000.0,5.889301702506311,2023.0,2.0,27,3,1,76.0,65.0,56.0,67.0,18.0,69.0
A. May,ST,65,65,775000.0,5.889301702506311,2022.0,1.0,27,3,1,83.0,63.0,59.0,67.0,39.0,72.0
S. Ambri,"LM, ST, LWB",65,71,1100000.0,6.041392685158225,2023.0,2.0,23,3,1,89.0,62.0,55.0,67.0,28.0,58.0
T. Kishimoto,"RB, ST",65,71,1100000.0,6.041392685158225,2022.0,1.0,23,3,1,73.0,62.0,62.0,63.0,61.0,72.0
K. Sugimoto,ST,65,65,725000.0,5.860338006570994,2022.0,1.0,28,4,1,73.0,63.0,55.0,65.0,23.0,74.0
K. Tagawa,"RW, LW, ST",65,72,1500000.0,6.176091259055681,2022.0,1.0,22,2,1,86.0,63.0,56.0,63.0,31.0,72.0
B. Girth,ST,65,65,725000.0,5.860338006570994,2023.0,2.0,29,3,1,57.0,66.0,45.0,63.0,23.0,58.0
E. Botheim,ST,65,75,1600000.0,6.204119982655925,2022.0,1.0,21,3,1,66.0,65.0,47.0,64.0,26.0,65.0
A. Petre,ST,65,69,1000000.0,6.0,2024.0,3.0,23,3,1,75.0,62.0,54.0,61.0,37.0,76.0
A. Zreľák,ST,65,66,825000.0,5.9164539485499255,2023.0,2.0,27,4,1,66.0,65.0,48.0,61.0,29.0,75.0
J. Lescano,ST,65,65,725000.0,5.860338006570994,2022.0,1.0,28,2,1,73.0,67.0,52.0,63.0,29.0,65.0
A. Ocejo,ST,65,71,1100000.0,6.041392685158225,2025.0,4.0,23,3,1,74.0,63.0,61.0,65.0,37.0,57.0
Y. Akgün,"RM, ST, RW",65,74,1600000.0,6.204119982655925,2022.0,1.0,20,3,1,80.0,63.0,59.0,68.0,29.0,39.0
J. Arp,"ST, LW, RW",65,76,1600000.0,6.204119982655925,2022.0,1.0,21,3,1,68.0,63.0,49.0,68.0,22.0,54.0
I. Shinozuka,"RM, ST, LB",65,66,850000.0,5.929418925714293,2022.0,1.0,26,3,1,71.0,62.0,57.0,68.0,37.0,62.0
I. Boonen,"CAM, CM, ST",65,72,1500000.0,6.176091259055681,2023.0,2.0,22,4,1,69.0,65.0,62.0,67.0,44.0,59.0
T. Knöll,ST,65,72,1400000.0,6.146128035678238,2024.0,3.0,23,3,1,61.0,64.0,47.0,61.0,25.0,65.0
S. Odey,ST,65,72,1400000.0,6.146128035678238,2022.0,1.0,23,3,1,88.0,60.0,45.0,67.0,33.0,66.0
N. Carnat,"RM, ST, LM",65,72,1400000.0,6.146128035678238,2022.0,1.0,23,3,1,80.0,58.0,60.0,66.0,40.0,61.0
Chris Ramos,"LM, ST, RM",65,71,1100000.0,6.041392685158225,2024.0,3.0,24,3,1,84.0,62.0,54.0,66.0,29.0,65.0
T. Buitink,ST,65,74,1600000.0,6.204119982655925,2023.0,2.0,21,3,1,66.0,66.0,54.0,65.0,25.0,65.0
Y. Goke,"RM, CM, ST",65,74,1600000.0,6.204119982655925,2022.0,1.0,22,3,1,68.0,60.0,63.0,64.0,45.0,65.0
D. Watari,"CF, ST",65,65,725000.0,5.860338006570994,2022.0,1.0,28,3,1,70.0,64.0,58.0,67.0,32.0,64.0
B. White,ST,65,69,1000000.0,6.0,2024.0,3.0,25,4,1,75.0,63.0,50.0,66.0,41.0,71.0
T. Barlow,ST,65,68,950000.0,5.977723605288848,2024.0,3.0,25,4,1,76.0,63.0,50.0,59.0,35.0,74.0
D. Wenzel-Halls,"ST, LW",65,72,1400000.0,6.146128035678238,2024.0,3.0,23,3,1,80.0,68.0,51.0,67.0,24.0,65.0
T. Bonga,"RM, ST, LM",65,71,1100000.0,6.041392685158225,2023.0,2.0,24,3,1,81.0,59.0,52.0,67.0,32.0,71.0
L. Jephcott,ST,65,76,1600000.0,6.204119982655925,2023.0,2.0,21,3,1,77.0,65.0,54.0,65.0,29.0,69.0
H. Gong,"RM, ST",65,74,1600000.0,6.204119982655925,2022.0,1.0,22,3,1,87.0,57.0,56.0,69.0,33.0,58.0
D. Jastrzembski,"LM, ST",65,73,1600000.0,6.204119982655925,2022.0,1.0,21,3,1,79.0,58.0,61.0,67.0,35.0,57.0
A. Kargbo,ST,65,75,1600000.0,6.204119982655925,2022.0,1.0,21,3,1,80.0,65.0,46.0,62.0,21.0,51.0
R. Yamasaki,ST,65,65,725000.0,5.860338006570994,2022.0,1.0,28,2,1,46.0,66.0,53.0,57.0,28.0,73.0
Sergio Moreno,ST,65,76,1600000.0,6.204119982655925,2023.0,2.0,22,3,1,72.0,62.0,49.0,65.0,19.0,52.0
P. Mićin,"RW, ST, LW",65,73,1600000.0,6.204119982655925,2022.0,1.0,22,3,1,60.0,64.0,61.0,68.0,34.0,50.0
Kim Ji Hyun,"ST, RW",65,69,1000000.0,6.0,2022.0,1.0,24,4,1,76.0,60.0,55.0,65.0,29.0,66.0
G. Rutter,ST,65,80,1700000.0,6.230448921378274,2025.0,4.0,19,5,1,77.0,64.0,54.0,66.0,23.0,59.0
J. Murray,ST,65,70,1100000.0,6.041392685158225,2022.0,1.0,25,3,1,69.0,66.0,46.0,61.0,19.0,70.0
Itaitinga,"LM, ST",65,75,1600000.0,6.204119982655925,2023.0,2.0,22,3,1,73.0,65.0,57.0,69.0,20.0,62.0
D. Drăguș,"ST, LW",65,74,1600000.0,6.204119982655925,2024.0,3.0,21,2,1,74.0,64.0,50.0,67.0,19.0,70.0
J. Becerra,ST,65,74,1600000.0,6.204119982655925,2022.0,1.0,23,3,1,69.0,64.0,54.0,62.0,33.0,72.0
L. Ihorst,"ST, RM",65,74,1600000.0,6.204119982655925,2022.0,1.0,21,4,1,82.0,62.0,50.0,59.0,29.0,70.0
M. Phaëton,"ST, LM",65,73,1600000.0,6.204119982655925,2023.0,2.0,21,3,1,81.0,61.0,54.0,67.0,24.0,72.0
C. Huerta,"ST, LM, LW",65,76,1600000.0,6.204119982655925,2021.0,0.0,20,3,1,70.0,66.0,63.0,66.0,37.0,56.0
J. Maroof,"RM, ST",65,65,700000.0,5.845098040014257,2023.0,2.0,29,2,1,84.0,64.0,56.0,63.0,39.0,61.0
D. Sikan,ST,65,80,1700000.0,6.230448921378274,2023.0,2.0,20,2,1,74.0,65.0,47.0,65.0,20.0,52.0
Júnior Brumado,ST,65,74,1600000.0,6.204119982655925,2023.0,2.0,22,3,1,76.0,61.0,49.0,68.0,29.0,78.0
J. Piroe,ST,65,74,1600000.0,6.204119982655925,2024.0,3.0,21,4,1,60.0,66.0,52.0,64.0,28.0,68.0
F. Mambimbi,"ST, LM, RM",65,80,1700000.0,6.230448921378274,2024.0,3.0,20,4,1,88.0,64.0,53.0,72.0,24.0,55.0
D. Hanslik,"RM, LM, ST",65,67,925000.0,5.9661417327390325,2023.0,2.0,24,2,1,72.0,64.0,59.0,63.0,25.0,69.0
N. Bannis,ST,65,77,1700000.0,6.230448921378274,2023.0,2.0,19,3,1,77.0,64.0,49.0,67.0,24.0,59.0
T. Somers,"RW, ST",65,72,1500000.0,6.176091259055681,2023.0,2.0,22,4,1,81.0,54.0,61.0,68.0,33.0,67.0
E. Simms,ST,65,78,1700000.0,6.230448921378274,2022.0,1.0,20,4,1,74.0,65.0,52.0,63.0,25.0,68.0
R. Pepi,ST,65,80,1700000.0,6.230448921378274,2022.0,1.0,18,3,1,62.0,65.0,49.0,61.0,34.0,58.0
L. Kambole,"ST, RW, LW",65,66,825000.0,5.9164539485499255,2022.0,1.0,27,4,1,73.0,66.0,49.0,64.0,24.0,64.0
R. Postema,"ST, RM",65,79,1700000.0,6.230448921378274,2024.0,3.0,19,4,1,78.0,67.0,51.0,62.0,29.0,57.0
T. Vecino,ST,65,75,1600000.0,6.204119982655925,2021.0,0.0,22,3,1,63.0,66.0,53.0,63.0,27.0,56.0
G. Simeone,"ST, LM",65,81,1800000.0,6.2552725051033065,2022.0,1.0,18,3,1,74.0,66.0,49.0,64.0,25.0,69.0
L. Campana,ST,65,74,1600000.0,6.204119982655925,2022.0,1.0,21,4,1,67.0,67.0,48.0,62.0,29.0,59.0
L. Martell,"ST, LM",65,66,850000.0,5.929418925714293,2022.0,1.0,26,3,1,66.0,68.0,58.0,63.0,40.0,71.0
M. Bustillo,ST,65,70,1100000.0,6.041392685158225,2022.0,1.0,25,3,1,57.0,68.0,58.0,61.0,37.0,63.0
R. Baturina,ST,65,77,1800000.0,6.2552725051033065,2022.0,1.0,21,4,1,66.0,68.0,49.0,61.0,21.0,66.0
D. Tono,"RW, ST",65,73,1600000.0,6.204119982655925,2022.0,1.0,22,3,1,68.0,68.0,58.0,70.0,18.0,46.0
D. Pérez,ST,65,65,350000.0,5.544068044350276,2021.0,0.0,34,2,1,62.0,67.0,45.0,60.0,20.0,61.0
J. Escobar,ST,65,71,1100000.0,6.041392685158225,2025.0,4.0,24,3,1,66.0,68.0,53.0,63.0,29.0,53.0
R. Königsdörffer,"RM, ST",65,79,1700000.0,6.230448921378274,2022.0,1.0,19,3,1,83.0,61.0,55.0,67.0,37.0,53.0
A. Colassin,"ST, CAM",65,76,1600000.0,6.204119982655925,2025.0,4.0,20,3,1,76.0,65.0,52.0,66.0,20.0,55.0
Julio Martínez,"ST, CAM",65,77,1700000.0,6.230448921378274,2022.0,1.0,20,4,1,76.0,65.0,53.0,65.0,19.0,53.0
P. Abraham,"ST, LM",65,82,1800000.0,6.2552725051033065,2026.0,5.0,18,3,1,79.0,65.0,54.0,69.0,28.0,52.0
J. Krasso,"ST, RW",65,71,1100000.0,6.041392685158225,2023.0,2.0,23,3,1,66.0,64.0,59.0,63.0,19.0,59.0
D. Borkowski,ST,65,79,1700000.0,6.230448921378274,2022.0,1.0,19,3,1,71.0,64.0,46.0,66.0,29.0,61.0
M. Peralta Bauer,"ST, RW",65,73,1600000.0,6.204119982655925,2022.0,1.0,23,3,1,72.0,62.0,52.0,63.0,31.0,68.0
T. Ogashiwa,"CF, ST",65,70,1100000.0,6.041392685158225,2022.0,1.0,22,3,1,71.0,64.0,58.0,70.0,24.0,52.0
A. Elanga,"LM, ST",65,80,1700000.0,6.230448921378274,2024.0,3.0,19,3,1,81.0,60.0,58.0,68.0,29.0,51.0
T. Oosting,"ST, LW",65,75,1600000.0,6.204119982655925,2022.0,1.0,21,3,1,67.0,65.0,62.0,65.0,51.0,59.0
M. Kuzimski,ST,65,65,700000.0,5.845098040014257,2022.0,1.0,30,3,1,78.0,64.0,55.0,61.0,28.0,63.0
T. Anselm,"ST, LM, CAM",65,74,1600000.0,6.204119982655925,2022.0,1.0,21,3,1,77.0,63.0,60.0,64.0,41.0,61.0
J. Boyamba,"CF, RM, ST",65,70,1100000.0,6.041392685158225,2022.0,1.0,24,4,1,84.0,61.0,56.0,71.0,29.0,54.0
Tiago Morais,ST,65,81,1800000.0,6.2552725051033065,2023.0,2.0,17,5,1,77.0,65.0,58.0,71.0,24.0,47.0
C. Duarte,ST,65,65,240000.0,5.380211241711606,2021.0,0.0,38,3,1,55.0,67.0,51.0,69.0,19.0,59.0
Alex Millán,ST,65,75,1600000.0,6.204119982655925,2022.0,1.0,21,3,1,65.0,69.0,52.0,60.0,35.0,54.0
Y. Yamagishi,ST,65,65,775000.0,5.889301702506311,2022.0,1.0,27,3,1,50.0,67.0,46.0,61.0,32.0,70.0
Y. Malede,"ST, LW",65,74,1600000.0,6.204119982655925,2025.0,4.0,21,3,1,74.0,64.0,60.0,68.0,21.0,65.0
F. Góndola,"ST, LM",65,69,1000000.0,6.0,2021.0,0.0,25,3,1,82.0,63.0,52.0,64.0,43.0,66.0
A. Schjelderup,"CAM, LW, ST",65,84,1800000.0,6.2552725051033065,2023.0,2.0,17,3,1,72.0,58.0,60.0,68.0,35.0,47.0
R. Enrique,"ST, LW",65,79,1700000.0,6.230448921378274,2023.0,2.0,20,3,1,68.0,67.0,58.0,65.0,26.0,60.0
B. Sepúlveda,ST,65,65,725000.0,5.860338006570994,2022.0,1.0,28,4,1,55.0,67.0,48.0,60.0,28.0,66.0
M. Giménez,ST,65,70,1100000.0,6.041392685158225,2022.0,1.0,24,3,1,52.0,68.0,42.0,57.0,28.0,74.0
Ekain,"ST, CAM",65,66,825000.0,5.9164539485499255,2022.0,1.0,27,3,1,71.0,66.0,55.0,66.0,28.0,60.0
Karrikaburu,ST,65,84,1800000.0,6.2552725051033065,2026.0,5.0,18,3,1,65.0,65.0,47.0,63.0,27.0,52.0
M. Ljubičić,ST,65,82,1900000.0,6.278753600952829,2026.0,5.0,19,3,1,76.0,66.0,47.0,58.0,24.0,58.0
M. Ugalde,ST,65,76,1600000.0,6.204119982655925,2025.0,4.0,19,3,1,79.0,67.0,51.0,67.0,28.0,49.0
T. Baribo,ST,65,71,1100000.0,6.041392685158225,2023.0,2.0,23,3,1,69.0,67.0,41.0,63.0,19.0,61.0
A. Ndour,ST,65,74,1600000.0,6.204119982655925,2025.0,4.0,20,2,1,57.0,65.0,47.0,59.0,28.0,72.0
M. Makarić,ST,65,69,1000000.0,6.0,2025.0,4.0,25,4,1,67.0,65.0,50.0,64.0,23.0,67.0
Ricardinho,"ST, CF",65,75,1600000.0,6.204119982655925,2022.0,1.0,20,3,1,56.0,66.0,54.0,63.0,22.0,61.0
Marcelo dos Santos,ST,65,71,1100000.0,6.041392685158225,2023.0,2.0,23,3,1,63.0,69.0,47.0,60.0,30.0,62.0
T. Zajíc,ST,65,69,1000000.0,6.0,2023.0,2.0,24,3,1,80.0,64.0,43.0,65.0,21.0,62.0
W. Aponza,ST,65,74,1600000.0,6.204119982655925,2025.0,4.0,21,3,1,54.0,65.0,52.0,62.0,38.0,71.0
I. Henderson,ST,64,64,200000.0,5.301029995663981,2022.0,1.0,36,3,1,59.0,66.0,61.0,66.0,36.0,68.0
M. Sağlik,"ST, CF, CAM",64,64,200000.0,5.301029995663981,2022.0,1.0,38,4,1,54.0,62.0,53.0,67.0,32.0,59.0
R. König,ST,64,64,200000.0,5.301029995663981,2022.0,1.0,38,4,1,31.0,69.0,48.0,49.0,37.0,75.0
A. Bunjaku,ST,64,64,200000.0,5.301029995663981,2022.0,1.0,37,4,2,47.0,64.0,56.0,67.0,36.0,59.0
A. Cristea,ST,64,64,200000.0,5.301029995663981,2022.0,1.0,37,3,1,55.0,64.0,60.0,63.0,29.0,63.0
J. Mulenga,ST,64,64,200000.0,5.301029995663981,2022.0,1.0,37,3,1,57.0,66.0,49.0,54.0,39.0,75.0
Yang Dong Hyen,"ST, RW",64,64,250000.0,5.3979400086720375,2021.0,0.0,35,3,1,37.0,67.0,52.0,63.0,26.0,62.0
Hugo Vieira,ST,64,64,475000.0,5.676693609624866,2022.0,1.0,32,3,1,77.0,62.0,62.0,67.0,28.0,61.0
B. Pitman,ST,64,64,375000.0,5.574031267727719,2022.0,1.0,33,4,1,46.0,67.0,58.0,61.0,28.0,64.0
Yang Xu,ST,64,64,375000.0,5.574031267727719,2021.0,0.0,33,3,1,57.0,61.0,53.0,58.0,28.0,72.0
F. Brustad,"ST, RM",64,64,475000.0,5.676693609624866,2021.0,0.0,32,2,1,87.0,59.0,55.0,61.0,35.0,73.0
Yu Dabao,"CB, ST",64,64,275000.0,5.439332693830263,2021.0,0.0,33,3,2,67.0,57.0,58.0,60.0,61.0,76.0
A. Nemec,ST,64,64,250000.0,5.3979400086720375,2022.0,1.0,35,3,1,44.0,65.0,46.0,61.0,30.0,72.0
T. Høiland,ST,64,64,475000.0,5.676693609624866,2022.0,1.0,32,3,1,73.0,64.0,52.0,65.0,33.0,73.0
M. Galvan,ST,64,64,600000.0,5.778151250383644,2021.0,0.0,28,3,1,70.0,67.0,56.0,64.0,22.0,55.0
C. Main,ST,64,64,575000.0,5.7596678446896306,2023.0,2.0,29,2,1,70.0,63.0,48.0,58.0,32.0,84.0
M. Abdellaoue,ST,64,64,475000.0,5.676693609624866,2021.0,0.0,32,3,1,61.0,65.0,49.0,67.0,31.0,63.0
H. Ibusuki,ST,64,64,575000.0,5.7596678446896306,2022.0,1.0,30,4,1,42.0,63.0,46.0,57.0,28.0,63.0
J. Obika,ST,64,64,575000.0,5.7596678446896306,2023.0,2.0,30,2,1,69.0,62.0,44.0,62.0,33.0,75.0
G. Madrigal,ST,64,64,600000.0,5.778151250383644,2024.0,3.0,28,3,1,28.0,64.0,59.0,58.0,36.0,75.0
N. Clark,ST,64,64,575000.0,5.7596678446896306,2023.0,2.0,30,3,1,68.0,65.0,59.0,64.0,34.0,57.0
W. Grigg,ST,64,64,575000.0,5.7596678446896306,2022.0,1.0,29,3,1,69.0,65.0,48.0,63.0,32.0,65.0
S. Winnall,ST,64,64,575000.0,5.7596678446896306,2022.0,1.0,30,3,1,66.0,64.0,50.0,65.0,23.0,59.0
R. Bowman,ST,64,64,575000.0,5.7596678446896306,2023.0,2.0,29,3,1,68.0,63.0,47.0,60.0,31.0,80.0
N. Mezquida,"CAM, ST",64,64,575000.0,5.7596678446896306,2025.0,4.0,29,3,1,53.0,60.0,62.0,71.0,35.0,45.0
E. Harrison,ST,64,65,675000.0,5.829303772831025,2022.0,1.0,27,4,1,78.0,61.0,51.0,64.0,41.0,80.0
C. Kane,ST,64,65,700000.0,5.845098040014257,2023.0,2.0,26,3,1,76.0,59.0,49.0,62.0,41.0,79.0
P. Breier,"ST, RM, LM",64,64,575000.0,5.7596678446896306,2023.0,2.0,29,3,1,69.0,63.0,58.0,64.0,32.0,71.0
S. Kroon,"RM, ST, LM",64,64,600000.0,5.778151250383644,2021.0,0.0,28,3,1,82.0,57.0,59.0,64.0,41.0,56.0
D. Samuel,"ST, RW",64,65,675000.0,5.829303772831025,2023.0,2.0,27,3,1,75.0,62.0,52.0,65.0,38.0,72.0
D. Dwyer,ST,64,64,575000.0,5.7596678446896306,2022.0,1.0,30,4,1,65.0,66.0,51.0,64.0,32.0,66.0
S. Novothny,ST,64,65,675000.0,5.829303772831025,2022.0,1.0,27,3,1,45.0,64.0,41.0,57.0,27.0,70.0
B. Turgott,"ST, LM, RM",64,64,625000.0,5.795880017344075,2022.0,1.0,27,3,1,76.0,64.0,54.0,68.0,23.0,61.0
J. Ironside,ST,64,65,675000.0,5.829303772831025,2023.0,2.0,27,3,1,68.0,62.0,49.0,60.0,41.0,80.0
T. Thiele,"ST, RM",64,64,575000.0,5.7596678446896306,2022.0,1.0,29,3,1,79.0,62.0,52.0,62.0,22.0,65.0
M. Ingebrigtsen,"RW, ST, RM",64,67,800000.0,5.903089986991944,2021.0,0.0,24,2,1,82.0,62.0,54.0,67.0,42.0,51.0
K. Angielski,ST,64,67,775000.0,5.889301702506311,2022.0,1.0,25,3,1,70.0,62.0,53.0,63.0,26.0,69.0
Park Jung Bin,"LM, ST",64,64,625000.0,5.795880017344075,2023.0,2.0,27,5,1,82.0,60.0,59.0,64.0,38.0,46.0
