short_name,player_positions,overall,potential,value_eur,value_log10,club_contract_valid_until,years_left,age,weak_foot,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_finishing,attacking_heading_accuracy,attacking_volleys,power_shot_power,power_long_shots,skill_ball_control,mentality_positioning
P. Frick,ST,66,66,850000.0,5.929418925714293,2021.0,0.0,29,2,1,73.0,65.0,57.0,60.0,36.0,82.0,68,65,59,64,58,58,71
K. Sadlier,"LM, RM, ST",66,66,925000.0,5.9661417327390325,2022.0,1.0,26,4,1,75.0,67.0,62.0,67.0,38.0,65.0,63,54,67,70,72,66,63
A. Gnanduillet,ST,66,66,850000.0,5.929418925714293,2022.0,1.0,29,2,1,70.0,67.0,46.0,58.0,36.0,83.0,66,71,60,72,65,59,66
T. Jurić,ST,66,66,850000.0,5.929418925714293,2022.0,1.0,29,4,1,62.0,69.0,55.0,63.0,45.0,77.0,67,65,68,71,68,64,67
M. Bonne,ST,66,70,1200000.0,6.079181246047625,2022.0,1.0,25,5,1,72.0,65.0,49.0,64.0,33.0,66.0,68,68,57,67,60,64,67
C. Monsalvo,ST,66,66,725000.0,5.860338006570994,2021.0,0.0,31,3,1,79.0,63.0,52.0,65.0,22.0,61.0,65,63,59,68,50,62,68
M. Donoso,ST,66,66,425000.0,5.628388930050312,2021.0,0.0,34,3,1,59.0,69.0,39.0,56.0,28.0,82.0,72,75,62,72,58,60,72
R. Salinas,ST,66,66,425000.0,5.628388930050312,2022.0,1.0,34,3,1,45.0,67.0,45.0,61.0,35.0,66.0,69,73,66,71,58,64,70
Juanma,ST,66,66,850000.0,5.929418925714293,2022.0,1.0,30,3,1,53.0,65.0,52.0,57.0,36.0,76.0,68,68,61,71,54,68,70
U. Ikpeazu,ST,66,68,1100000.0,6.041392685158225,2024.0,3.0,26,3,1,61.0,63.0,50.0,63.0,27.0,82.0,65,66,59,75,50,65,66
E. Triverio,ST,66,66,700000.0,5.845098040014257,2022.0,1.0,32,4,1,43.0,68.0,52.0,67.0,30.0,73.0,68,69,63,72,66,68,72
J. Tanaka,"ST, LM",66,66,550000.0,5.740362689494244,2022.0,1.0,33,4,1,64.0,66.0,66.0,66.0,33.0,64.0,65,64,66,66,65,67,68
C. Washington,ST,66,66,850000.0,5.929418925714293,2022.0,1.0,29,3,1,75.0,65.0,57.0,65.0,34.0,72.0,66,62,58,67,60,64,66
D. Charles,ST,66,70,1200000.0,6.079181246047625,2022.0,1.0,25,4,1,75.0,65.0,58.0,66.0,34.0,73.0,67,61,62,65,62,64,67
Rufo,"CAM, ST",66,66,850000.0,5.929418925714293,2022.0,1.0,28,3,1,68.0,66.0,59.0,69.0,23.0,58.0,66,61,62,68,65,67,66
F. Di Mariano,"ST, LW",66,69,1100000.0,6.041392685158225,2024.0,3.0,25,4,1,71.0,63.0,61.0,70.0,32.0,52.0,69,54,58,63,54,68,70
J. Vogliotti,ST,66,66,300000.0,5.477121254719663,2021.0,0.0,36,2,1,53.0,71.0,49.0,56.0,25.0,59.0,72,71,65,72,70,61,72
A. Jeremejeff,ST,66,67,1000000.0,6.0,2023.0,2.0,27,3,1,67.0,64.0,53.0,62.0,28.0,68.0,70,66,57,59,55,65,69
J. Torres,ST,66,73,1700000.0,6.230448921378274,2021.0,0.0,24,3,1,55.0,67.0,54.0,67.0,22.0,58.0,71,68,49,70,60,74,64
F. David,"ST, LW, RM",66,66,875000.0,5.942008053022313,2025.0,4.0,28,3,1,76.0,66.0,62.0,67.0,42.0,66.0,68,61,42,72,66,65,64
Y. Kakitani,"CF, ST, LM",66,66,725000.0,5.860338006570994,2022.0,1.0,31,3,1,73.0,65.0,61.0,67.0,29.0,61.0,64,46,61,70,65,67,67
P. Schobesberger,"LM, ST, CAM",66,66,900000.0,5.954242509439325,2022.0,1.0,27,4,1,83.0,61.0,64.0,67.0,44.0,64.0,63,55,55,60,62,68,58
H. Reina,ST,66,66,850000.0,5.929418925714293,2021.0,0.0,30,3,1,72.0,65.0,56.0,69.0,26.0,56.0,71,58,57,59,58,72,71
B. Gueye,ST,66,68,1100000.0,6.041392685158225,2023.0,2.0,26,3,1,73.0,63.0,41.0,61.0,21.0,70.0,63,75,47,71,60,64,65
M. Kvasina,ST,66,71,1300000.0,6.113943352306837,2023.0,2.0,24,2,1,51.0,66.0,50.0,63.0,29.0,70.0,67,79,56,69,64,67,67
J. Vargas,"CAM, LW, ST",66,71,1300000.0,6.113943352306837,2022.0,1.0,23,3,1,78.0,61.0,62.0,72.0,35.0,60.0,56,49,58,70,63,69,64
M. Covea,"RM, LM, ST",66,66,900000.0,5.954242509439325,2023.0,2.0,27,3,1,80.0,54.0,61.0,68.0,29.0,56.0,58,42,47,54,48,68,61
D. Atanga,"RM, CAM, ST",66,70,1200000.0,6.079181246047625,2024.0,3.0,24,4,1,90.0,56.0,56.0,66.0,39.0,54.0,57,49,48,60,51,62,62
S. Buș,ST,66,66,875000.0,5.942008053022313,2022.0,1.0,28,3,1,68.0,66.0,57.0,61.0,43.0,71.0,66,71,60,69,64,63,68
D. Nazon,ST,66,67,1000000.0,6.0,2026.0,5.0,27,3,1,75.0,65.0,47.0,66.0,24.0,63.0,66,58,60,68,61,66,62
C. Dieng,"ST, LM, RM",66,67,1000000.0,6.0,2022.0,1.0,27,3,1,90.0,64.0,58.0,68.0,30.0,52.0,65,60,62,67,62,65,65
D. Badji,"ST, LM",66,66,875000.0,5.942008053022313,2021.0,0.0,28,3,1,75.0,62.0,47.0,66.0,38.0,75.0,65,71,52,66,53,66,62
Zhang Yuning,ST,66,72,1400000.0,6.146128035678238,2023.0,2.0,24,4,1,67.0,67.0,58.0,62.0,30.0,70.0,67,65,61,74,68,64,64
O. Berg,"CF, CM, ST",66,66,925000.0,5.9661417327390325,2022.0,1.0,27,3,1,72.0,65.0,61.0,65.0,54.0,74.0,63,55,55,70,66,65,68
P. Ochs,"LB, CM, ST",66,73,1600000.0,6.204119982655925,2022.0,1.0,24,3,1,72.0,63.0,64.0,69.0,61.0,61.0,62,54,53,75,58,69,59
B. Enobakhare,"CAM, ST, RW",66,73,1700000.0,6.230448921378274,2023.0,2.0,23,3,1,84.0,57.0,58.0,75.0,27.0,65.0,58,51,52,64,50,73,57
O. Duarte,"ST, LM, LW",66,67,1000000.0,6.0,2026.0,5.0,25,2,1,78.0,64.0,56.0,67.0,26.0,67.0,65,60,59,62,61,66,69
S. Gularte,ST,66,66,725000.0,5.860338006570994,2021.0,0.0,31,3,1,71.0,67.0,47.0,66.0,29.0,65.0,71,68,54,67,63,67,64
L. Zahović,ST,66,69,1100000.0,6.041392685158225,2024.0,3.0,25,3,1,76.0,62.0,57.0,71.0,28.0,51.0,63,62,58,65,58,72,70
A. Kalulu,"RM, LM, ST",66,69,1100000.0,6.041392685158225,2024.0,3.0,25,3,1,91.0,61.0,56.0,70.0,32.0,49.0,60,49,65,64,59,66,60
Adão Morrinhos,"ST, CF",66,66,850000.0,5.929418925714293,2024.0,3.0,29,3,1,67.0,72.0,54.0,65.0,23.0,57.0,73,66,72,78,71,63,57
Breno Laranjeiro,"CAM, ST",66,66,1000000.0,6.0,2024.0,3.0,21,2,1,70.0,56.0,67.0,67.0,41.0,55.0,58,63,61,53,52,71,62
J. Grot,"ST, LW, RW",66,73,1700000.0,6.230448921378274,2023.0,2.0,23,2,1,78.0,65.0,59.0,61.0,47.0,82.0,59,61,57,84,67,61,59
Ian González,ST,66,66,875000.0,5.942008053022313,2021.0,0.0,28,2,1,33.0,71.0,53.0,61.0,34.0,67.0,73,70,65,71,68,64,71
C. Ogbene,"RM, LM, ST",66,72,1400000.0,6.146128035678238,2022.0,1.0,24,4,1,90.0,57.0,57.0,67.0,45.0,69.0,59,41,53,58,56,66,54
J. Leko,"ST, RM",66,71,1300000.0,6.113943352306837,2022.0,1.0,22,4,1,87.0,61.0,55.0,68.0,24.0,58.0,64,64,50,66,56,64,64
F. Schleusener,"ST, LM, RM",66,66,850000.0,5.929418925714293,2023.0,2.0,29,4,1,79.0,62.0,56.0,65.0,28.0,69.0,62,58,68,70,54,62,70
V. Kulach,ST,66,66,875000.0,5.942008053022313,2023.0,2.0,28,3,1,73.0,63.0,50.0,67.0,21.0,63.0,69,59,49,55,64,68,68
Y. Mutō,"CF, ST",66,66,700000.0,5.845098040014257,2023.0,2.0,32,3,1,70.0,67.0,65.0,66.0,39.0,69.0,65,60,59,71,67,62,67
T. Takagi,"LM, CF, ST",66,66,825000.0,5.9164539485499255,2022.0,1.0,30,3,1,78.0,65.0,63.0,65.0,33.0,57.0,65,49,52,70,61,62,63
H. Goya,ST,66,66,925000.0,5.9661417327390325,2024.0,3.0,27,3,1,70.0,67.0,52.0,63.0,28.0,62.0,70,67,67,65,62,63,73
P. Sabbag,ST,66,72,1400000.0,6.146128035678238,2021.0,0.0,24,4,1,58.0,66.0,44.0,61.0,32.0,68.0,69,64,64,71,56,66,68
F. Stokkers,ST,66,68,1100000.0,6.041392685158225,2022.0,1.0,25,3,1,71.0,66.0,43.0,66.0,29.0,69.0,68,65,60,68,61,69,68
P. Tietz,ST,66,72,1400000.0,6.146128035678238,2024.0,3.0,23,3,1,63.0,67.0,51.0,64.0,32.0,74.0,69,65,53,66,66,65,69
Y. Kakita,ST,66,72,1400000.0,6.146128035678238,2022.0,1.0,23,3,1,78.0,64.0,57.0,62.0,42.0,73.0,65,68,59,64,61,63,68
D. Florea,ST,66,66,550000.0,5.740362689494244,2023.0,2.0,33,3,1,73.0,67.0,58.0,68.0,31.0,61.0,68,63,59,67,65,64,67
W. Janssens,"RB, CB, ST",66,68,975000.0,5.989004615698537,2022.0,1.0,25,3,1,68.0,63.0,55.0,63.0,67.0,61.0,63,65,60,70,63,61,42
J. Odgaard,ST,66,74,1900000.0,6.278753600952829,2022.0,1.0,22,3,1,68.0,64.0,50.0,67.0,35.0,67.0,68,62,53,67,56,67,67
K. Andrić,ST,66,68,1100000.0,6.041392685158225,2023.0,2.0,26,3,1,65.0,66.0,50.0,66.0,22.0,67.0,69,66,51,67,61,74,63
S. Chabbi,ST,66,66,925000.0,5.9661417327390325,2023.0,2.0,27,3,1,69.0,65.0,52.0,63.0,24.0,66.0,68,67,52,68,56,64,66
M. Finotto,ST,66,66,875000.0,5.942008053022313,2022.0,1.0,28,2,1,82.0,62.0,57.0,65.0,35.0,67.0,64,65,65,60,56,63,67
G. Vrioni,ST,66,74,1900000.0,6.278753600952829,2022.0,1.0,22,4,1,77.0,66.0,50.0,65.0,23.0,60.0,69,63,66,65,58,69,62
I. Jebali,"ST, CF, CAM",66,66,850000.0,5.929418925714293,2024.0,3.0,29,3,1,71.0,65.0,62.0,71.0,38.0,70.0,65,57,60,69,61,70,66
I. Sacko,"ST, LM",66,72,1400000.0,6.146128035678238,2022.0,1.0,23,3,1,81.0,64.0,60.0,69.0,40.0,58.0,61,63,59,73,60,66,63
J. Asoro,"ST, RM",66,73,1800000.0,6.2552725051033065,2024.0,3.0,22,3,1,88.0,62.0,54.0,71.0,21.0,57.0,64,56,55,66,55,68,64
A. Jung,ST,66,73,1700000.0,6.230448921378274,2023.0,2.0,23,3,1,57.0,66.0,46.0,61.0,30.0,74.0,66,71,59,67,68,65,64
Arribas,"LM, ST, RM",66,76,1900000.0,6.278753600952829,2022.0,1.0,22,3,1,72.0,62.0,61.0,66.0,34.0,60.0,64,58,59,58,57,66,65
B. Cuesta,ST,66,66,700000.0,5.845098040014257,2022.0,1.0,32,4,1,69.0,67.0,53.0,60.0,26.0,67.0,72,67,58,62,63,60,70
N. Tella,"LM, ST",66,78,2100000.0,6.3222192947339195,2023.0,2.0,21,2,1,86.0,57.0,56.0,69.0,31.0,54.0,59,44,49,57,55,65,65
A. Badji,ST,66,73,1700000.0,6.230448921378274,2024.0,3.0,23,3,1,83.0,66.0,41.0,64.0,26.0,80.0,68,72,53,70,64,64,58
M. Sylla,"ST, RW",66,76,1900000.0,6.278753600952829,2023.0,2.0,21,3,1,82.0,63.0,54.0,70.0,22.0,56.0,65,59,59,64,59,68,66
T. Arano,"CM, CF, ST",66,66,850000.0,5.929418925714293,2022.0,1.0,28,3,1,66.0,64.0,65.0,69.0,55.0,70.0,66,52,57,62,63,71,61
K. Kitagawa,"ST, CF, CAM",66,70,1200000.0,6.079181246047625,2023.0,2.0,24,4,1,79.0,64.0,49.0,70.0,35.0,60.0,64,62,65,63,61,71,68
S. Tigges,ST,66,73,1800000.0,6.2552725051033065,2024.0,3.0,22,4,1,57.0,67.0,55.0,55.0,42.0,79.0,69,71,61,75,57,56,67
H. Wright,ST,66,74,1900000.0,6.278753600952829,2022.0,1.0,23,4,1,77.0,66.0,48.0,64.0,22.0,72.0,68,61,56,72,60,65,62
R. Scheu,"RM, ST, CAM",66,66,925000.0,5.9661417327390325,2023.0,2.0,26,4,1,78.0,56.0,58.0,64.0,54.0,75.0,59,46,38,54,51,61,64
S. Schimmer,ST,66,67,1000000.0,6.0,2023.0,2.0,27,4,1,65.0,67.0,42.0,62.0,29.0,73.0,70,65,63,70,59,64,70
S. Demhasaj,ST,66,70,1200000.0,6.079181246047625,2023.0,2.0,25,3,1,64.0,69.0,46.0,65.0,29.0,58.0,70,65,61,67,69,68,66
W. Kanga,ST,66,73,1700000.0,6.230448921378274,2024.0,3.0,23,4,1,72.0,63.0,59.0,68.0,24.0,62.0,66,66,55,65,55,72,65
M. Eisa,ST,66,67,1000000.0,6.0,2023.0,2.0,26,3,1,81.0,64.0,51.0,66.0,24.0,63.0,67,58,57,65,59,65,67
B. Rubio,ST,66,73,1700000.0,6.230448921378274,2021.0,0.0,24,3,1,71.0,64.0,51.0,66.0,27.0,74.0,65,70,55,64,60,66,69
M. Tchokounté,ST,66,66,700000.0,5.845098040014257,2022.0,1.0,32,2,1,40.0,66.0,52.0,62.0,23.0,79.0,69,73,63,66,61,66,74
S. Sow,"LW, RW, ST",66,69,1200000.0,6.079181246047625,2023.0,2.0,24,3,1,79.0,62.0,58.0,67.0,26.0,65.0,65,58,55,68,55,64,63
Leonardo Rocha,ST,66,73,1700000.0,6.230448921378274,2022.0,1.0,23,3,1,62.0,67.0,46.0,62.0,21.0,65.0,70,68,55,66,63,66,67
Dani Escriche,"ST, RM, CAM",66,74,1900000.0,6.278753600952829,2022.0,1.0,23,3,1,68.0,65.0,51.0,64.0,30.0,63.0,69,69,59,64,61,68,65
J. Carranza,ST,66,75,1900000.0,6.278753600952829,2021.0,0.0,21,3,1,68.0,65.0,54.0,67.0,33.0,62.0,67,62,45,68,61,67,70
Yang Liyu,"RM, RW, ST",66,71,1300000.0,6.113943352306837,2022.0,1.0,24,2,1,82.0,55.0,61.0,65.0,43.0,68.0,54,57,56,60,52,64,62
A. Akinola,ST,66,75,1900000.0,6.278753600952829,2021.0,0.0,21,3,1,82.0,66.0,48.0,60.0,20.0,70.0,69,60,58,70,59,59,66
Brugui,"LM, RM, ST",66,72,1400000.0,6.146128035678238,2022.0,1.0,24,3,1,85.0,59.0,59.0,67.0,42.0,63.0,59,58,52,59,58,64,63
V. Torp,"CAM, CM, ST",66,75,1900000.0,6.278753600952829,2022.0,1.0,21,4,1,68.0,60.0,66.0,69.0,53.0,61.0,58,42,56,67,59,69,64
K. Kabran,"LM, ST, LW",66,66,900000.0,5.954242509439325,2023.0,2.0,27,3,1,77.0,64.0,59.0,66.0,40.0,71.0,66,54,58,64,61,67,65
J. Núñez,ST,66,66,700000.0,5.845098040014257,2021.0,0.0,32,3,1,65.0,68.0,43.0,62.0,27.0,55.0,71,71,68,67,62,65,65
A. Succar,ST,66,69,1100000.0,6.041392685158225,2021.0,0.0,25,3,1,76.0,67.0,53.0,62.0,26.0,66.0,73,60,58,61,64,61,64
K. Nakamura,"LM, ST, CM",66,66,850000.0,5.929418925714293,2024.0,3.0,28,4,1,74.0,61.0,61.0,67.0,47.0,68.0,62,58,57,65,61,66,63
C. Baird,"ST, LM, LW",66,71,1300000.0,6.113943352306837,2022.0,1.0,25,4,1,77.0,64.0,55.0,65.0,32.0,68.0,67,66,56,68,57,64,66
D. Valencia,"ST, RW, LW",66,78,2100000.0,6.3222192947339195,2021.0,0.0,21,3,1,70.0,61.0,57.0,69.0,26.0,66.0,61,68,44,66,57,72,70
A. Bernier,"RM, LM, ST",66,72,1400000.0,6.146128035678238,2023.0,2.0,23,3,1,82.0,61.0,60.0,68.0,29.0,57.0,62,49,47,63,61,65,63
P. Schmidt,"ST, RM",66,66,925000.0,5.9661417327390325,2024.0,3.0,27,3,1,66.0,66.0,43.0,60.0,27.0,73.0,69,70,65,73,56,62,68
R. Stewart,"ST, LM",66,70,1200000.0,6.079181246047625,2023.0,2.0,24,3,1,71.0,64.0,51.0,59.0,26.0,69.0,66,72,58,65,60,63,66
S. van Hooijdonk,"ST, LW",66,75,1900000.0,6.278753600952829,2025.0,4.0,21,4,1,76.0,68.0,55.0,62.0,26.0,67.0,65,61,62,75,69,65,63
F. Colidio,"ST, CAM",66,75,1900000.0,6.278753600952829,2023.0,2.0,21,3,1,68.0,67.0,63.0,70.0,25.0,44.0,70,69,65,63,66,72,66
D. Chambost,"CAM, CM, ST",66,72,1400000.0,6.146128035678238,2022.0,1.0,23,2,1,64.0,64.0,66.0,66.0,52.0,65.0,64,55,59,67,64,67,61
J. Gelhardt,"ST, CAM",66,82,2200000.0,6.342422680822207,2024.0,3.0,19,3,1,73.0,66.0,57.0,69.0,27.0,63.0,68,55,58,67,62,69,64
André Luís,ST,66,67,1000000.0,6.0,2024.0,3.0,27,3,1,67.0,67.0,48.0,65.0,24.0,70.0,69,72,69,68,62,62,65
A. Díaz,ST,66,76,1900000.0,6.278753600952829,2022.0,1.0,21,3,1,73.0,62.0,49.0,68.0,23.0,68.0,65,68,48,68,55,70,67
S. Plaza,ST,66,75,1900000.0,6.278753600952829,2023.0,2.0,22,3,1,73.0,65.0,53.0,65.0,26.0,70.0,67,66,60,69,56,65,64
A. Nalić,"CAM, RW, ST",66,75,1900000.0,6.278753600952829,2022.0,1.0,23,3,1,78.0,62.0,58.0,69.0,43.0,70.0,59,46,61,73,66,69,60
J. Zwarts,"ST, LW, RW",66,75,1900000.0,6.278753600952829,2024.0,3.0,22,3,1,82.0,65.0,51.0,64.0,23.0,71.0,67,55,53,70,58,66,64
M. Kamara,"ST, RW, LW",66,75,1900000.0,6.278753600952829,2023.0,2.0,23,4,1,78.0,63.0,52.0,69.0,29.0,67.0,66,64,46,69,57,68,65
W. Isidor,ST,66,77,1900000.0,6.278753600952829,2023.0,2.0,20,3,1,67.0,65.0,54.0,66.0,21.0,57.0,67,66,59,68,59,67,67
Andre Shinyashiki,"LM, ST, CAM",66,72,1400000.0,6.146128035678238,2024.0,3.0,24,3,1,77.0,62.0,56.0,70.0,39.0,62.0,64,54,44,64,60,67,64
C. Petrila,"RW, ST",66,80,2100000.0,6.3222192947339195,2023.0,2.0,20,4,1,81.0,58.0,64.0,67.0,34.0,52.0,60,36,38,58,60,63,60
Sergio Camello,ST,66,81,2100000.0,6.3222192947339195,2022.0,1.0,20,3,1,68.0,66.0,52.0,67.0,24.0,43.0,68,63,64,63,64,68,69
G. Fernández,ST,66,67,1000000.0,6.0,2022.0,1.0,27,2,1,77.0,63.0,57.0,61.0,47.0,80.0,63,76,61,64,60,60,64
Berto,"LM, ST",66,75,1900000.0,6.278753600952829,2022.0,1.0,23,3,1,84.0,65.0,60.0,66.0,35.0,50.0,69,27,63,63,58,63,63
A. Tapsoba,"RW, ST",66,80,2000000.0,6.301029995663981,2022.0,1.0,19,3,1,83.0,66.0,51.0,70.0,22.0,54.0,67,54,59,69,66,72,58
O. Edvardsen,"RW, ST, LW",66,73,1700000.0,6.230448921378274,2022.0,1.0,22,4,1,90.0,60.0,55.0,69.0,46.0,75.0,64,54,55,59,55,65,65
D. Febles,"ST, RM",66,66,850000.0,5.929418925714293,2021.0,0.0,30,3,1,71.0,63.0,47.0,59.0,33.0,67.0,65,68,59,58,66,59,72
A. Osorio,ST,66,71,1300000.0,6.113943352306837,2022.0,1.0,23,2,1,56.0,67.0,57.0,58.0,31.0,63.0,70,79,67,70,58,55,74
L. Iberico,"ST, LW",66,72,1400000.0,6.146128035678238,2021.0,0.0,23,3,1,69.0,66.0,51.0,66.0,25.0,62.0,73,67,65,60,65,64,60
P. Gueye,ST,66,74,1900000.0,6.278753600952829,2024.0,3.0,21,3,1,75.0,64.0,54.0,67.0,21.0,73.0,65,62,61,69,59,66,63
Lobete,"ST, LM",66,80,2100000.0,6.3222192947339195,2023.0,2.0,20,4,1,70.0,65.0,48.0,66.0,23.0,57.0,70,64,50,65,59,69,69
N. Sosa,"ST, CF",66,70,1200000.0,6.079181246047625,2025.0,4.0,25,2,1,54.0,67.0,52.0,63.0,25.0,59.0,70,72,60,62,64,61,72
M. Cho,ST,66,82,2100000.0,6.3222192947339195,2023.0,2.0,17,3,1,75.0,66.0,53.0,68.0,24.0,49.0,68,63,52,68,65,68,62
K. Caliskaner,ST,66,73,1800000.0,6.2552725051033065,2023.0,2.0,21,3,1,75.0,60.0,52.0,67.0,21.0,65.0,62,62,56,64,55,70,65
S. Tedić,ST,66,78,2100000.0,6.3222192947339195,2024.0,3.0,21,4,1,63.0,65.0,52.0,63.0,25.0,73.0,68,68,61,63,59,65,67
T. Dzvukamanja,"ST, LW, RW",66,67,1000000.0,6.0,2023.0,2.0,27,5,1,74.0,70.0,51.0,65.0,32.0,61.0,73,70,62,70,70,59,57
A. Alipour,ST,66,71,1300000.0,6.113943352306837,2022.0,1.0,25,4,1,75.0,68.0,50.0,64.0,23.0,60.0,70,66,69,71,62,63,64
E. Ramírez,ST,66,74,1900000.0,6.278753600952829,2026.0,5.0,22,3,1,51.0,66.0,46.0,60.0,22.0,65.0,70,75,70,65,55,60,70
O. Noronha,ST,66,66,850000.0,5.929418925714293,2021.0,0.0,29,3,1,62.0,69.0,44.0,61.0,20.0,60.0,72,70,69,68,65,58,68
V. Edvardsen,"ST, LW",66,70,1200000.0,6.079181246047625,2022.0,1.0,25,3,1,63.0,68.0,58.0,62.0,32.0,72.0,70,54,59,69,64,65,72
Lautaro,ST,66,80,2100000.0,6.3222192947339195,2023.0,2.0,20,4,1,65.0,67.0,46.0,65.0,20.0,57.0,72,65,60,62,66,70,62
D. Pérez,ST,66,78,2000000.0,6.301029995663981,2024.0,3.0,19,3,1,69.0,67.0,40.0,64.0,27.0,70.0,72,66,61,66,61,66,62
R. Morales,ST,66,73,1800000.0,6.2552725051033065,2022.0,1.0,22,3,1,69.0,67.0,44.0,65.0,23.0,52.0,72,67,67,66,61,68,65
A. Maglica,ST,66,66,850000.0,5.929418925714293,2023.0,2.0,29,3,1,58.0,70.0,54.0,62.0,40.0,54.0,74,65,59,67,68,68,71
R. Piñeiro,"RW, ST, LW",66,74,1900000.0,6.278753600952829,2023.0,2.0,22,3,1,81.0,60.0,62.0,68.0,26.0,53.0,60,36,57,65,57,66,64
J. López,ST,66,80,2100000.0,6.3222192947339195,2023.0,2.0,20,3,1,54.0,67.0,48.0,61.0,32.0,62.0,73,74,62,63,59,69,68
I. Maggi,ST,66,74,1900000.0,6.278753600952829,2022.0,1.0,22,4,1,76.0,66.0,51.0,65.0,28.0,60.0,68,68,50,69,63,66,65
E. Tavşan,"RW, ST",66,76,1900000.0,6.278753600952829,2023.0,2.0,20,3,1,86.0,60.0,59.0,66.0,24.0,58.0,61,54,43,63,61,63,63
Gilson Tavares,"CF, ST",66,77,1900000.0,6.278753600952829,2023.0,2.0,19,3,1,80.0,65.0,56.0,71.0,20.0,50.0,67,56,60,66,63,69,55
M. Abline,ST,66,83,2200000.0,6.342422680822207,2024.0,3.0,18,3,1,75.0,68.0,54.0,69.0,23.0,48.0,70,58,64,68,63,68,64
J. Boselli,ST,66,76,1900000.0,6.278753600952829,2023.0,2.0,21,2,1,71.0,67.0,50.0,71.0,23.0,58.0,67,54,61,74,63,73,62
J. Bothroyd,ST,65,65,240000.0,5.380211241711606,2022.0,1.0,39,2,2,29.0,65.0,59.0,60.0,28.0,68.0,64,77,61,71,59,68,74
Y. Okubo,"ST, CAM, LW",65,65,240000.0,5.380211241711606,2022.0,1.0,39,4,2,37.0,69.0,63.0,67.0,26.0,56.0,69,70,69,68,68,69,77
A. Akinfenwa,ST,65,65,240000.0,5.380211241711606,2022.0,1.0,39,3,1,40.0,64.0,55.0,56.0,35.0,74.0,64,74,59,71,56,68,68
A. Keogh,ST,65,65,300000.0,5.477121254719663,2022.0,1.0,35,4,1,63.0,64.0,60.0,63.0,37.0,75.0,65,64,64,67,58,63,66
S. Whalley,"ST, RW",65,65,450000.0,5.653212513775344,2022.0,1.0,33,3,1,88.0,63.0,60.0,68.0,42.0,62.0,63,55,58,67,62,64,64
E. Gutiérrez,"ST, CF, RW",65,65,300000.0,5.477121254719663,2021.0,0.0,35,3,1,52.0,69.0,55.0,61.0,32.0,68.0,75,64,48,70,60,62,70
L. Akins,"LM, ST",65,65,575000.0,5.7596678446896306,2022.0,1.0,32,3,1,73.0,64.0,59.0,64.0,59.0,79.0,64,58,54,69,63,63,63
M. Bottani,"ST, LW, CAM",65,65,700000.0,5.845098040014257,2024.0,3.0,30,4,1,87.0,65.0,57.0,72.0,39.0,48.0,69,45,54,65,60,71,68
K. Özer,"ST, RM",65,65,450000.0,5.653212513775344,2022.0,1.0,33,4,1,72.0,63.0,64.0,71.0,35.0,60.0,65,49,62,64,62,72,67
A. Ríos,"ST, CAM, CM",65,65,600000.0,5.778151250383644,2021.0,0.0,31,4,1,59.0,65.0,63.0,66.0,38.0,79.0,65,68,62,70,61,66,64
M. Kramer,ST,65,65,575000.0,5.7596678446896306,2023.0,2.0,32,3,1,41.0,64.0,56.0,56.0,35.0,63.0,67,75,63,66,50,62,74
G. Madine,ST,65,65,700000.0,5.845098040014257,2022.0,1.0,30,3,1,49.0,66.0,51.0,61.0,32.0,78.0,65,69,67,70,63,66,67
C. McManaman,"RM, ST",65,65,700000.0,5.845098040014257,2022.0,1.0,30,4,1,72.0,61.0,60.0,68.0,27.0,61.0,62,37,55,64,57,66,64
Dong Xuesheng,ST,65,65,575000.0,5.7596678446896306,2022.0,1.0,32,3,1,55.0,65.0,52.0,58.0,37.0,76.0,68,73,60,69,59,54,68
Paulinho,"ST, CF",65,65,300000.0,5.477121254719663,2021.0,0.0,35,4,1,67.0,69.0,61.0,68.0,24.0,70.0,68,41,68,70,70,68,69
P. Huspek,"RM, RW, ST",65,65,700000.0,5.845098040014257,2022.0,1.0,30,4,1,85.0,61.0,60.0,66.0,29.0,60.0,62,41,57,65,58,64,55
A. Cook,ST,65,65,700000.0,5.845098040014257,2023.0,2.0,30,4,1,65.0,64.0,52.0,61.0,28.0,84.0,65,65,61,68,60,62,65
M. Pink,"ST, LM, RM",65,65,700000.0,5.845098040014257,2023.0,2.0,30,3,1,55.0,65.0,51.0,59.0,27.0,74.0,68,66,58,71,53,62,66
Adrián Sardinero,"ST, RW",65,65,700000.0,5.845098040014257,2023.0,2.0,30,4,1,73.0,61.0,56.0,67.0,22.0,65.0,64,50,54,65,53,70,67
G. Álvarez,ST,65,65,725000.0,5.860338006570994,2021.0,0.0,29,4,1,65.0,69.0,43.0,56.0,25.0,71.0,76,68,61,65,61,57,70
I. Saadi,ST,65,65,725000.0,5.860338006570994,2022.0,1.0,29,3,1,56.0,67.0,52.0,62.0,22.0,74.0,65,64,68,81,56,62,65
T. Bunbury,"LM, RM, ST",65,65,600000.0,5.778151250383644,2021.0,0.0,31,3,1,73.0,66.0,59.0,66.0,41.0,78.0,66,61,60,73,61,66,67
C. McAleny,"LW, ST",65,65,725000.0,5.860338006570994,2023.0,2.0,28,3,1,81.0,64.0,59.0,66.0,24.0,56.0,63,50,58,67,63,63,63
